"","idx","x","y"
"881",152528,74.8294145957591,-20.5650225073228
"341",151025,14.0524678222837,-15.4259782711441
"560",151838,4.12669884201819,-5.33261153097282
"135",149514,88.8930183469838,-65.8356658447718
"363",151121,86.5453567980303,-21.2801518273045
"106",149139,74.1710303748017,-28.3313925910931
"827",152424,80.0010749929135,-14.0017421407326
"381",151179,42.7356160564832,-35.1655889536844
"1341",153219,88.6914708481584,-98.0713946561449
"574",151871,76.8239168351908,-22.3186267412121
"551",151800,75.6277241060079,-59.7058840593632
"416",151287,16.5307483156766,-4.05079918946401
"1239",153089,39.5786679507027,-74.7268570411469
"808",152387,88.2665508541667,-96.6980448725442
"591",151922,65.8883960490223,-40.142104336279
"1220",153069,84.8282298594674,-67.9323773418806
"768",152307,21.252344976381,-29.600669679518
"634",152014,44.3309830740027,-10.7726293373547
"1375",153266,31.4023892270074,-25.4421345251064
"750",152267,25.8469088327357,-32.3158210084757
"729",152216,74.8792160181443,-25.2872944564063
"1364",153250,77.6507851034438,-7.4977429023841
"638",152026,69.8385297344074,-35.7516242432191
"642",152037,48.8198454362192,-65.893630051391
"192",150113,75.0120290286078,-61.5428632248974
"238",150437,70.2100671591208,-30.1463494362934
"1369",153260,93.6696351584734,-12.4570832780854
"85",148773,55.4325315612962,-14.5304753391581
"1319",153191,81.1527101639853,-41.6010575113789
"244",150462,72.2354483412382,-2.52654810016285
"1339",153216,81.4517809915475,-43.7848126416134
"898",152556,50.8774202555622,-41.1236092882973
"772",152316,87.4831512399636,-38.8571278522139
"100",149072,70.6994144064043,-47.7868291590007
"1193",153038,60.4072842635021,-63.7182822667916
"13",146074,3.65355109542307,-9.74056440396469
"628",152000,74.021981735988,-80.8307165496155
"973",152704,93.9104130169154,-24.9195610067189
"739",152241,87.0253348061208,-51.9261408412363
"120",149331,33.5588655487832,-23.0257710200744
"946",152651,39.8011595224575,-34.8020318204202
"900",152559,81.0726664260678,-13.4411170733608
"1372",153263,94.3494323645027,-74.7595989630514
"926",152614,41.6636401309521,-72.4439150745922
"17",146308,71.127722683103,-38.1852916289661
"441",151411,73.7067718255173,-61.0055439819775
"716",152184,90.4031302495608,-48.7953242467481
"64",148010,99.1281600527511,-70.1099243600952
"262",150579,80.8765766277444,-13.5734175348919
"1190",153035,48.9410932441895,-63.2890790078139
"991",152742,71.9048241629797,-17.5688871782989
"1373",153264,48.1988573609967,-34.7842841632473
"526",151720,92.9007853125489,-36.4484823945694
"1182",153026,77.1195940737157,-11.7255040035071
"977",152712,92.4154346862697,-53.54399892143
"161",149765,38.8665505260363,-17.3396964040833
"506",151648,14.3317343248222,-0.855079143856147
"644",152039,55.6764417231818,-58.6694652772699
"163",149806,54.6147164764067,-63.8923102466976
"225",150358,77.3048980259789,-46.4548434973768
"1378",153270,36.0311991107936,-7.55754882676258
"272",150650,77.9459412601849,-13.9105874458171
"854",152479,66.4790242730101,-46.813004229936
"590",151921,77.6196191746598,-11.2418712071984
"1012",152778,77.8120331644058,-22.9586270436012
"269",150620,20.798676788615,-25.2876186644084
"690",152133,78.5662639815933,-18.2537177965421
"573",151870,86.838858859086,-19.3089757073368
"39",147272,56.5307199388343,-72.3620290250538
"618",151979,83.7045325904295,-67.0061019279266
"1202",153048,44.8686100424798,-64.9528161029812
